[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:01 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x38a898d9736d5ba99f6fc98bd57789c41080116792ec6d691f442cc2e70b4b0c
[09:15:13 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6de88d4f0f70462151b8a22b7b19e34fbd733974225b4d85cd5adfd2ffcac849
[09:18:16 | 14-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:18:19 | 14-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[14:03:29 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x6ca389ab12c267652ea9426d987b9a7a2212004cb530e991515e6adcf81b6942
[14:03:36 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x873cd50160c6e6ae2dee82e80fa67086afea6a82566356defd5aa976632a2e33
[14:06:40 | 14-02-2025] Transfer Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[14:06:43 | 14-02-2025] Bridge Task successful for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae
[09:15:18 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xd4fb77e77da326c2bb9f4d2f7eaff5d5347779dd8ffab11240ffac94454a2e2d
[09:15:37 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x278f120c498ec5c596a2c4652c1b553cfff60bb673d2238cad48cab829243e46
[09:18:40 | 15-02-2025] Transfer Task successful for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae
[09:18:43 | 15-02-2025] Bridge Task successful for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae
[09:21:41 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xf5edd4e6fae5579134f27bdc9f73ed278bef3474a5f370a5a642bba81a3e633a
[09:21:49 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x71b8f1f0abfa0918d0654b29ebdee545335de758499c08e1ab29087c8db6e91c
